|    | Filename           |   Engine Unit |   NASAScore_largestcudnngru |   NASAScore_grucnndc |   NASAScore |   NASAScore_transformer |
|---:|:-------------------|--------------:|----------------------------:|---------------------:|------------:|------------------------:|
| 11 | N-CMAPSS_DS01-005  |             7 |                        1.33 |                 0.66 |        0.93 |                    0.81 |
| 12 | N-CMAPSS_DS01-005  |             8 |                        0.47 |                 0.59 |        0.37 |                    0.33 |
| 13 | N-CMAPSS_DS01-005  |             9 |                        2.51 |                 1.06 |        1.62 |                    1.55 |
| 14 | N-CMAPSS_DS01-005  |            10 |                        0.31 |                 0.36 |        0.22 |                    0.17 |
|  0 | N-CMAPSS_DS02-006  |            11 |                        0.22 |                 0.29 |        0.38 |                    0.31 |
|  1 | N-CMAPSS_DS02-006  |            14 |                        0.19 |                 0.26 |        0.52 |                    0.27 |
|  2 | N-CMAPSS_DS02-006  |            15 |                        0.14 |                 0.14 |        0.21 |                    0.21 |
| 19 | N-CMAPSS_DS03-012  |            10 |                        0.31 |                 0.3  |        0.24 |                    0.24 |
| 20 | N-CMAPSS_DS03-012  |            11 |                        0.14 |                 0.19 |        0.14 |                    0.16 |
| 21 | N-CMAPSS_DS03-012  |            12 |                        1.05 |                 1.23 |        0.99 |                    0.94 |
| 22 | N-CMAPSS_DS03-012  |            13 |                        0.4  |                 0.35 |        0.4  |                    0.39 |
| 23 | N-CMAPSS_DS03-012  |            14 |                        0.23 |                 0.25 |        0.2  |                    0.18 |
| 24 | N-CMAPSS_DS03-012  |            15 |                        0.15 |                 0.23 |        0.13 |                    0.12 |
| 35 | N-CMAPSS_DS04      |             7 |                        8.55 |                 2.73 |        6.16 |                    2.17 |
| 36 | N-CMAPSS_DS04      |             8 |                        0.81 |                 6.14 |        9.87 |                    3.17 |
| 37 | N-CMAPSS_DS04      |             9 |                        3.03 |                 1.73 |        3.2  |                    0.96 |
| 38 | N-CMAPSS_DS04      |            10 |                        0.77 |                 4.26 |        6.16 |                    1.37 |
| 15 | N-CMAPSS_DS05      |             7 |                        0.46 |                 0.51 |        0.56 |                    0.43 |
| 16 | N-CMAPSS_DS05      |             8 |                        0.27 |                 0.21 |        0.18 |                    0.21 |
| 17 | N-CMAPSS_DS05      |             9 |                        0.14 |                 0.22 |        0.23 |                    0.3  |
| 18 | N-CMAPSS_DS05      |            10 |                        0.24 |                 0.32 |        0.35 |                    0.32 |
|  7 | N-CMAPSS_DS06      |             7 |                        0.59 |                 0.43 |        0.35 |                    0.31 |
|  8 | N-CMAPSS_DS06      |             8 |                        0.45 |                 0.89 |        0.9  |                    0.52 |
|  9 | N-CMAPSS_DS06      |             9 |                        0.19 |                 0.2  |        0.15 |                    0.25 |
| 10 | N-CMAPSS_DS06      |            10 |                        0.19 |                 0.32 |        0.26 |                    0.21 |
|  3 | N-CMAPSS_DS07      |             7 |                        0.2  |                 0.37 |        0.36 |                    0.23 |
|  4 | N-CMAPSS_DS07      |             8 |                        0.39 |                 0.25 |        0.21 |                    0.26 |
|  5 | N-CMAPSS_DS07      |             9 |                        1.53 |                 1.52 |        1.58 |                    1.28 |
|  6 | N-CMAPSS_DS07      |            10 |                        0.27 |                 0.39 |        0.29 |                    0.31 |
| 29 | N-CMAPSS_DS08a-009 |            10 |                        0.38 |                11.64 |        8.9  |                   12.23 |
| 30 | N-CMAPSS_DS08a-009 |            11 |                        0.58 |                11.38 |       14.68 |                   15.48 |
| 31 | N-CMAPSS_DS08a-009 |            12 |                       20.01 |                59.66 |      135.67 |                  193.11 |
| 32 | N-CMAPSS_DS08a-009 |            13 |                        0.3  |                 8.71 |        9.52 |                    8.29 |
| 33 | N-CMAPSS_DS08a-009 |            14 |                        5.75 |                14.29 |       15.22 |                    6.13 |
| 34 | N-CMAPSS_DS08a-009 |            15 |                        4.14 |                75.27 |      101.07 |                  171.29 |
| 25 | N-CMAPSS_DS08c-008 |             7 |                        0.33 |                 0.41 |        0.39 |                    0.42 |
| 26 | N-CMAPSS_DS08c-008 |             8 |                        0.23 |                 0.27 |        0.27 |                    0.28 |
| 27 | N-CMAPSS_DS08c-008 |             9 |                        0.2  |                 0.26 |        0.27 |                    0.29 |
| 28 | N-CMAPSS_DS08c-008 |            10 |                        0.56 |                 0.83 |        1.11 |                    0.43 |
