|    | Filename           |   Engine Unit |   RMSE_largestcudnngru |   RMSE_grucnndc |   RMSE |   RMSE_transformer |
|---:|:-------------------|--------------:|-----------------------:|----------------:|-------:|-------------------:|
| 11 | N-CMAPSS_DS01-005  |             7 |                  11.21 |            7.3  |   9.01 |               8.54 |
| 12 | N-CMAPSS_DS01-005  |             8 |                   4.44 |            5.31 |   3.95 |               3.12 |
| 13 | N-CMAPSS_DS01-005  |             9 |                  15.45 |            9.77 |  12.4  |              12.29 |
| 14 | N-CMAPSS_DS01-005  |            10 |                   3.4  |            3.94 |   2.76 |               1.96 |
|  0 | N-CMAPSS_DS02-006  |            11 |                   3.43 |            4.14 |   4.78 |               4    |
|  1 | N-CMAPSS_DS02-006  |            14 |                   2.87 |            3.62 |   6.14 |               3.89 |
|  2 | N-CMAPSS_DS02-006  |            15 |                   2.15 |            2.24 |   3.06 |               3.11 |
| 19 | N-CMAPSS_DS03-012  |            10 |                   4.18 |            3.97 |   3.34 |               3.16 |
| 20 | N-CMAPSS_DS03-012  |            11 |                   2.32 |            2.75 |   2.3  |               2.38 |
| 21 | N-CMAPSS_DS03-012  |            12 |                   7.53 |            8.31 |   7.33 |               7.06 |
| 22 | N-CMAPSS_DS03-012  |            13 |                   4.1  |            3.79 |   3.97 |               3.89 |
| 23 | N-CMAPSS_DS03-012  |            14 |                   3.54 |            3.13 |   3.13 |               2.96 |
| 24 | N-CMAPSS_DS03-012  |            15 |                   2.61 |            3.07 |   2.08 |               2.02 |
| 35 | N-CMAPSS_DS04      |             7 |                  24.61 |           12.42 |  17.75 |              11.29 |
| 36 | N-CMAPSS_DS04      |             8 |                   7.55 |           21.15 |  22.77 |              13.83 |
| 37 | N-CMAPSS_DS04      |             9 |                  16.21 |           11.11 |  13.54 |               7.64 |
| 38 | N-CMAPSS_DS04      |            10 |                   6.65 |           18.49 |  20.97 |               9.6  |
| 15 | N-CMAPSS_DS05      |             7 |                   4.42 |            4.65 |   4.91 |               4.21 |
| 16 | N-CMAPSS_DS05      |             8 |                   3.12 |            2.89 |   2.52 |               2.73 |
| 17 | N-CMAPSS_DS05      |             9 |                   2.03 |            2.95 |   3.14 |               3.9  |
| 18 | N-CMAPSS_DS05      |            10 |                   3.5  |            4.04 |   4.44 |               4.16 |
|  7 | N-CMAPSS_DS06      |             7 |                   6.42 |            4.94 |   4.17 |               3.98 |
|  8 | N-CMAPSS_DS06      |             8 |                   4.22 |            7.14 |   6.36 |               4.6  |
|  9 | N-CMAPSS_DS06      |             9 |                   2.63 |            2.61 |   2.03 |               3.37 |
| 10 | N-CMAPSS_DS06      |            10 |                   2.5  |            3.63 |   2.73 |               2.55 |
|  3 | N-CMAPSS_DS07      |             7 |                   2.49 |            3.91 |   3.71 |               2.87 |
|  4 | N-CMAPSS_DS07      |             8 |                   5.35 |            3.41 |   3    |               3.81 |
|  5 | N-CMAPSS_DS07      |             9 |                   9.47 |            9.33 |   9.6  |               8.49 |
|  6 | N-CMAPSS_DS07      |            10 |                   3.32 |            3.75 |   3.07 |               3.56 |
| 29 | N-CMAPSS_DS08a-009 |            10 |                   4.17 |           24.51 |  24.93 |              26.07 |
| 30 | N-CMAPSS_DS08a-009 |            11 |                   6.73 |           27.92 |  29.79 |              27.27 |
| 31 | N-CMAPSS_DS08a-009 |            12 |                  31.95 |           46.13 |  58.67 |              61.16 |
| 32 | N-CMAPSS_DS08a-009 |            13 |                   4.1  |           25.13 |  25.23 |              22.08 |
| 33 | N-CMAPSS_DS08a-009 |            14 |                  15.13 |           31.73 |  30.61 |              20.48 |
| 34 | N-CMAPSS_DS08a-009 |            15 |                  20.54 |           49.93 |  57.33 |              62.29 |
| 25 | N-CMAPSS_DS08c-008 |             7 |                   4.28 |            5.12 |   5.04 |               5.27 |
| 26 | N-CMAPSS_DS08c-008 |             8 |                   2.66 |            3.07 |   3.13 |               3.05 |
| 27 | N-CMAPSS_DS08c-008 |             9 |                   2.64 |            3.06 |   3.46 |               3.39 |
| 28 | N-CMAPSS_DS08c-008 |            10 |                   6.6  |            8.33 |   9.86 |               5.54 |
